01,CHOBE,,,,
,,001,CHOBE ENCLAVE WEST,,
,,,,0001,PARAKARUNGU PRIMARY SCHOOL
,,,,0002,PARAKARUNGU KGOTLA
,,,,0003,TENT AT CHITUZA KGOTLANA
,,,,0004,SATAU PRIMARY SCHOOL
,,,,0005,SATAU KGOTLA
,,,,0006,TENT AT MASANZU
,,,,0007,TENT AT IWUNGA KGOTLANA
,,,,0008,TENT AT LINYANTI WILDLIFE CAMP
,,002,CHOBE ENCLAVE CENTRAL,,
,,,,0009,KACHIKAU PRIMARY SCHOOL
,,,,0010,LISWAANI JUNIOR SECONDARY SCHOOL
,,,,0011,KACHIKAU KGOTLA 
,,,,0012,TENT AT SAVUTI WILDLIFE CAMP
,,003,CHOBE ENCLAVE EAST,,
,,,,0013,KAVIMBA PRIMARY SCHOOL
,,,,0014,TENT AT COMMUNITY HALL 
,,,,0015,TENT AT SERIBA LANDS
,,,,0016,MABELE PRIMARY SCHOOL
,,,,0017,TENT AT MUCHENJE MOBILE CLINIC
,,,,0018,TENT AT MABELE TOWER
,,,,0019,TENT AT IZII KGOTLANA 
,,,,0020,TENT AT NGOMA BORDER POST
,,004,KASANE NORTH,,
,,,,0021,KASANE PRIMARY SCHOOL
,,,,0022,CHOBE JUNIOR SECONDARY SCHOOL
,,,,0023,KASANE KGOTLA 
,,,,0024,TENT AT RED CROSS 
,,,,0025,TENT AT LIBRARY
,,005,KASANE SOUTH,,
,,,,0026,PLATEAU PRIMARY SCHOOL
,,,,0027,TENT PLATEAU KGOTLA
,,,,0028,TENT AT UCCSA CHURCH
,,,,0029,TENT AT OPEN SPACE BEHIND PLOT NO. 825
,,006,KAZUNGULA WEST,,
,,,,0030,NEW KAZUNGULA PRIMARY SCHOOL
,,,,0031,TENT AT FLOWERTOWN WATER TANKS
,,,,0032,TENT AT APOSTOLIC FAITH MISSION CHURCH
,,,,0033,TENT AT OPEN SPACE PLOT NO. 4837
,,007,KAZUNGULA EAST,,
,,,,0034,KAZUNGULA PRIMARY SCHOOL
,,,,0035,TENT AT THE OLD APOSTOLIC CHURCH
,,,,0036,KAZUNGULA KGOTLA
,,,,0037,TENT AT OPEN SPACE PRAISE AND WORSHIP TABANACLE CHURCH
,,,,0038,TENT AT APOSTOLIC FAITH MISSION CHURCH IN BOTSWANA
,,008,LESOMA,,
,,,,0039,LESOMA PRIMARY SCHOOL
,,,,0040,TENT AT OPEN SPACE AT DUMATAU/PLOT NO. 1232
,,,,0041,LESOMA KGOTLA
,,,,0042,TENT AT PLAYGROUND NEAR KAZUNGULA POLICE RESIDENCES
,,009,PANDAMATENGA,,
,,,,0043,OLD AGRICULTURAL RESEARCH
,,,,0044,PANDAMATENGA PRIMARY SCHOOL
,,,,0045,METEOROLOGY
,,,,0046,TENT AT NEWSTANDS MOBILE CLINIC
,,,,0047,TENT AT SHOW GROUND
,,,,0048,TENT AT BDF CAMP OPEN SPACE
,,,,0049,TENT AT VDC HALL
02,MAUN NORTH,,,,
,,010,KGOSING-KUBUNG,,
,,,,0050,BONATLA PRIMARY SCHOOL
,,,,0051,MAUN MAIN KGOTLA
,,,,0052,MENO KGOTLA
,,,,0053,MABUDUTSA KGOTLA
,,,,0054,TSHWARAGANO JUNIOR SECONDARY SCHOOL
,,,,0055,KUBUNG KGOTLA
,,,,0056,MATLOLA PRIMARY SCHOOL 
,,,,0057,TENT AT KUBUNG OPEN SPACE 
,,011,BOYEI,,
,,,,0058,MAUN SUB-LAND BOARD
,,,,0059,SEKGOMA PRIMARY SCHOOL
,,,,0060,BOTSHABELO KGOTLA
,,,,0061,BOYEI KGOTLA
,,,,0062,BAPTIST CHURCH
,,,,0063,BOTSWELELO PRIMARY SCHOOL 
,,012,MOETI,,
,,,,0064,MOETI JUNIOR SECONDARY SCHOOL
,,,,0065,BOYEI PRIMARY SCHOOL
,,,,0066,MOETI CLINIC
,,,,0067,GOROKU VDC
,,,,0068,XARAXAU VDC
,,,,0069,TENT AT SEJESO  
,,013,SEDIE,,
,,,,0070,MATHIBA PRIMARY SCHOOL
,,,,0071,SEDIE JUNIOR SECONDARY SCHOOL
,,,,0072,OLD IMMIGRATION OFFICES
,,,,0073,TENT AT MAPHANE 
,,,,0074,TENT AT OPEN SPACE SEDIE
,,,,0075,MAPHANE KGOTLA
,,,,0076,MOETI EAST KGOTLA
,,014,BORO-SENONNORI,,
,,,,0077,BORO VDC
,,,,0078,TENT AT BORO2 
,,,,0079,BORONYANE MOBILE STOP
,,,,0080,SENONNORI KGOTLA
,,,,0081,BIBLE LIFE MINISTRIES
,,,,0082,TENT AT HEALING CHURCH 
,,,,0106,TENT AT SENONNORI OPEN SPACE
,,,,1491,TENT AT BORO OPEN SPACE
,,015,MATLAPANA-SHOROBE,,
,,,,0083,MATLAPANA PRIMARY SCHOOL
,,,,0084,TENT AT MATLAPANA 
,,,,0085,LEGOTHWANA VDC  
,,,,0086,XHAKAANARE KGOTLA
,,,,0087,UNIVERSITY OF BOTSWANA
,,,,0088,SEXAXA VDC
,,,,0089,MATSAUDI PRIMARY SCHOOL
,,,,0090,TENT AT SAKAPANE 
,,,,0091,SHOROBE PRIMARY SCHOOL
,,,,0092,SHOROBE KGOTLA
,,,,0093,TENT AT MOCHABA 
,,,,0094,TENT AT NXINIQWE
,,,,0095,TENT AT NXABE VDC
,,016,BOJANALA,,
,,,,0096,TENT AT XAXABA
,,,,0097,DITSHIPING VDC
,,,,0098,DAUNARA VDC
,,,,0099,QUXAO VDC
,,,,0100,TENT AT MORUTSA
,,017,KHWAI-SANKUYO,,
,,,,0101,SANKUYO PRIMARY SCHOOL
,,,,0102,TENT AT SANTAWANI
,,,,0103,MABABE PRIMARY SCHOOL
,,,,0104,KHWAI VDC
,,,,0105,XAKANAXA
03,MAUN EAST,,,,
,,018,MAKALAMABEDI-PHUDUHUDU,,
,,,,0107,MAKALAMABEDI PRIMARY SCHOOL
,,,,0108,MOGOLOKWANE PRIMARY SCHOOL
