Code,Name
01,CHOBE
02,MAUN NORTH
03,MAUN EAST
04,MAUN WEST
05,NGAMI
06,OKAVANGO WEST
07,OKAVANGO EAST
08,TATI EAST
09,TATI WEST
10,FRANCISTOWN EAST
11,FRANCISTOWN SOUTH
12,FRANCISTOWN WEST
13,NATA-GWETA
14,NKANGE
15,SHASHE WEST
16,TONOTA
17,BOBIRWA
18,MMADINARE
19,SELIBI-PHIKWE EAST
20,SELIBI-PHIKWE WEST
21,PALAPYE
22,TSWAPONG NORTH
23,MAHALAPYE EAST
24,MAHALAPYE WEST
25,TSWAPONG SOUTH
26,SHOSHONG
27,SEROWE NORTH
28,SEROWE SOUTH
29,SEROWE WEST
30,BOTETI EAST
31,BOTETI WEST
32,KGATLENG CENTRAL
33,KGATLENG EAST
34,KGATLENG WEST
35,GABORONE CENTRAL
36,GABORONE NORTH
37,GABORONE SOUTH
38,GABORONE BONNINGTON NORTH
39,GABORONE BONNINGTON SOUTH
40,TLOKWENG
41,GAMALETE
42,MOGODITSHANE EAST
43,MOGODITSHANE WEST
44,GABANE-MMANKGODI
45,MMOPANE-METSIMOTLHABE
46,THAMAGA-KUMAKWANE
47,MOLEPOLOLE SOUTH
48,MOLEPOLOLE NORTH
49,LENTSWELETAU-LEPHEPHE
50,LETLHAKENG
51,TAKATOKWANE
52,LOBATSE
53,GOODHOPE-MMATHETHE
54,KANYE EAST
55,KANYE WEST
56,MOSHUPA-MANYANA
57,JWANENG-MABUTSANE
58,KGALAGADI NORTH
59,KGALAGADI SOUTH
60,GHANZI
61,CHARLESHILL
62,EXTERNAL
