Code,Name,Constituencies
001,CHOBE ENCLAVE WEST,CHOBE
002,CHOBE ENCLAVE CENTRAL,CHOBE
003,CHOBE ENCLAVE EAST,CHOBE
004,KASANE NORTH,CHOBE
005,KASANE SOUTH,CHOBE
006,KAZUNGULA WEST,CHOBE
007,KAZUNGULA EAST,CHOBE
008,LESOMA,CHOBE
009,PANDAMATENGA,CHOBE
010,KGOSING-KUBUNG,MAUN NORTH
011,BOYEI,MAUN NORTH
012,MOETI,MAUN NORTH
013,SEDIE,MAUN NORTH
014,BORO-SENONNORI,MAUN NORTH
015,MATLAPANA-SHOROBE,MAUN NORTH
016,BOJANALA,MAUN NORTH
017,KHWAI-SANKUYO,MAUN NORTH
018,MAKALAMABEDI-PHUDUHUDU,MAUN EAST
019,SOMELO-HAINAVELD FARMS,MAUN EAST
020,GXHABARA-DIKGATLHONG,MAUN EAST
021,BOSEJA SOUTH-MATSHWANE,MAUN EAST
022,BOSEJA CENTRAL,MAUN EAST
023,BOSEJA NORTH,MAUN EAST
024,DISANA,MAUN EAST
025,CHANOGA-SAMEDUPI,MAUN EAST
026,THAMALAKANE NORTH-MATLAPANA,MAUN EAST
027,KARENG-QHOROTSHAA,MAUN WEST
028,TSAU-SEMBOYO-MAKAKUNG,MAUN WEST
029,SEHITHWA-LEGOTHWANA,MAUN WEST
030,BODIBENG-BOTHATOGO,MAUN WEST
031,TOTENG,MAUN WEST
032,KOMANA-NXARAGA,MAUN WEST
033,SHASHE-BOTSHABELO WEST,MAUN WEST
034,THITO-BOMBADI,MAUN WEST
035,THAMALAKANE-RIVERSIDE SOUTH,MAUN WEST
036,QANGWA-XAIXAI,NGAMI
037,NOKANENG-HABU,NGAMI
038,GUMARE SOUTH,NGAMI
039,GUMARE NORTH,NGAMI
040,GUMARE EAST- TUBU,NGAMI
041,ETSHA,NGAMI
042,SHAKAWE WEST-GANI,OKAVANGO WEST
043,SHAKAWE CENTRAL,OKAVANGO WEST
044,SHAKAWE EAST-SAMOCHIMA,OKAVANGO WEST
045,XHAOGA-KAJAJA,OKAVANGO WEST
046,SEPOPA-IKOGA,OKAVANGO WEST
047,ETSHA 13-JAO FLATS,OKAVANGO WEST
048,NXAUNXAU-CHUKUMUCHU,OKAVANGO WEST
049,MOHEMBO-GANI EAST,OKAVANGO EAST
050,KAUXWI-XAKAO,OKAVANGO EAST
051,NGARANGE-MOGOTHO,OKAVANGO EAST
052,SERONGA-GUNOTSOGA,OKAVANGO EAST
053,BEETSHA-GUDIGWA,OKAVANGO EAST
054,BUTALE-SENYAWE,TATI EAST
055,MOWANA-TSHESEBE,TATI EAST
056,THEMASHANGA,TATI EAST
057,MABUDZANE-TSAMAYA,TATI EAST
058,JACKALAS 2-SIVIYA,TATI EAST
059,MATSHELAGABEDI,TATI EAST
060,MATOPI-MATSILOJE,TATI EAST
061,DITLA-PATA,TATI EAST
062,SHASHE BRIDGE-TATI SIDING SOUTH,TATI EAST
063,TATI SIDING CENTRAL,TATI EAST
064,TATI SIDING NORTH,TATI EAST
065,JACKALAS 1-RAMOKGWEBANA,TATI WEST
066,KGARI-MOROKA,TATI WEST
067,MAPOKA-MASUKWANE-NLAPKHWANE,TATI WEST
068,ZWEGAGU,TATI WEST
069,MOSOJANE-MULAMBAKWENA-POLE,TATI WEST
070,LETSHOLATHEBE-MASUNGA,TATI WEST
071,MASUNGA-VUKWI,TATI WEST
