Code,Name,Polling_Districts
0001,PARAKARUNGU PRIMARY SCHOOL,CHOBE ENCLAVE WEST
0002,PARAKARUNGU KGOTLA,CHOBE ENCLAVE WEST
0003,TENT AT CHITUZA KGOTLANA,CHOBE ENCLAVE WEST
0004,SATAU PRIMARY SCHOOL,CHOBE ENCLAVE WEST
0005,SATAU KGOTLA,CHOBE ENCLAVE WEST
0006,TENT AT MASANZU,CHOBE ENCLAVE WEST
0007,TENT AT IWUNGA KGOTLANA,CHOBE ENCLAVE WEST
0008,TENT AT LINYANTI WILDLIFE CAMP,CHOBE ENCLAVE WEST
0009,KACHIKAU PRIMARY SCHOOL,CHOBE ENCLAVE CENTRAL
0010,LISWAANI JUNIOR SECONDARY SCHOOL,CHOBE ENCLAVE CENTRAL
0011,KACHIKAU KGOTLA ,CHOBE ENCLAVE CENTRAL
0012,TENT AT SAVUTI WILDLIFE CAMP,CHOBE ENCLAVE CENTRAL
0013,KAVIMBA PRIMARY SCHOOL,CHOBE ENCLAVE EAST
0014,TENT AT COMMUNITY HALL ,CHOBE ENCLAVE EAST
0015,TENT AT SERIBA LANDS,CHOBE ENCLAVE EAST
0016,MABELE PRIMARY SCHOOL,CHOBE ENCLAVE EAST
0017,TENT AT MUCHENJE MOBILE CLINIC,CHOBE ENCLAVE EAST
0018,TENT AT MABELE TOWER,CHOBE ENCLAVE EAST
0019,TENT AT IZII KGOTLANA ,CHOBE ENCLAVE EAST
0020,TENT AT NGOMA BORDER POST,CHOBE ENCLAVE EAST
0021,KASANE PRIMARY SCHOOL,KASANE NORTH
0022,CHOBE JUNIOR SECONDARY SCHOOL,KASANE NORTH
0023,KASANE KGOTLA ,KASANE NORTH
0024,TENT AT RED CROSS ,KASANE NORTH
0025,TENT AT LIBRARY,KASANE NORTH
0026,PLATEAU PRIMARY SCHOOL,KASANE SOUTH
0027,TENT PLATEAU KGOTLA,KASANE SOUTH
0028,TENT AT UCCSA CHURCH,KASANE SOUTH
0029,TENT AT OPEN SPACE BEHIND PLOT NO. 825,KASANE SOUTH
0030,NEW KAZUNGULA PRIMARY SCHOOL,KAZUNGULA WEST
0031,TENT AT FLOWERTOWN WATER TANKS,KAZUNGULA WEST
0032,TENT AT APOSTOLIC FAITH MISSION CHURCH,KAZUNGULA WEST
0033,TENT AT OPEN SPACE PLOT NO. 4837,KAZUNGULA WEST
0034,KAZUNGULA PRIMARY SCHOOL,KAZUNGULA EAST
0035,TENT AT THE OLD APOSTOLIC CHURCH,KAZUNGULA EAST
0036,KAZUNGULA KGOTLA,KAZUNGULA EAST
0037,TENT AT OPEN SPACE PRAISE AND WORSHIP TABANACLE CHURCH,KAZUNGULA EAST
0038,TENT AT APOSTOLIC FAITH MISSION CHURCH IN BOTSWANA,KAZUNGULA EAST
0039,LESOMA PRIMARY SCHOOL,LESOMA
0040,TENT AT OPEN SPACE AT DUMATAU/PLOT NO. 1232,LESOMA
0041,LESOMA KGOTLA,LESOMA
0042,TENT AT PLAYGROUND NEAR KAZUNGULA POLICE RESIDENCES,LESOMA
0043,OLD AGRICULTURAL RESEARCH,PANDAMATENGA
0044,PANDAMATENGA PRIMARY SCHOOL,PANDAMATENGA
0045,METEOROLOGY,PANDAMATENGA
0046,TENT AT NEWSTANDS MOBILE CLINIC,PANDAMATENGA
0047,TENT AT SHOW GROUND,PANDAMATENGA
0048,TENT AT BDF CAMP OPEN SPACE,PANDAMATENGA
